po_id,vendor_id,order_date,promised_date,received_date,category,purchase_amount,quantity
PO2000,V001,2025-01-03,2025-01-10,2025-01-10,Food,12196.65,243.9
PO2001,V002,2025-01-04,2025-01-11,2025-01-12,Housekeeping,11058.3,221.2
PO2002,V003,2025-01-05,2025-01-12,2025-01-14,Utilities,12359.28,247.2
PO2003,V004,2025-01-06,2025-01-13,2025-01-16,Guest Supplies,13660.25,273.2
PO2004,V005,2025-01-07,2025-01-14,2025-01-13,Maintenance,14961.23,299.2
PO2005,V001,2025-02-03,2025-02-10,2025-02-11,Food,12272.96,245.5
PO2006,V002,2025-02-04,2025-02-11,2025-02-13,Housekeeping,11127.48,222.5
PO2007,V003,2025-02-05,2025-02-12,2025-02-15,Utilities,12436.6,248.7
PO2008,V004,2025-02-06,2025-02-13,2025-02-12,Guest Supplies,13745.71,274.9
PO2009,V005,2025-02-07,2025-02-14,2025-02-14,Maintenance,15054.83,301.1
PO2010,V001,2025-03-03,2025-03-10,2025-03-12,Food,9127.01,182.5
PO2011,V002,2025-03-04,2025-03-11,2025-03-14,Housekeeping,10343.94,206.9
PO2012,V003,2025-03-05,2025-03-12,2025-03-11,Utilities,11560.88,231.2
PO2013,V004,2025-03-06,2025-03-13,2025-03-13,Guest Supplies,12777.81,255.6
PO2014,V005,2025-03-07,2025-03-14,2025-03-15,Maintenance,13994.75,279.9
PO2015,V001,2025-04-03,2025-04-10,2025-04-13,Food,8318.88,166.4
PO2016,V002,2025-04-04,2025-04-11,2025-04-10,Housekeeping,9428.06,188.6
PO2017,V003,2025-04-05,2025-04-12,2025-04-12,Utilities,10537.25,210.7
PO2018,V004,2025-04-06,2025-04-13,2025-04-14,Guest Supplies,11646.43,232.9
PO2019,V005,2025-04-07,2025-04-14,2025-04-16,Maintenance,12755.61,255.1
PO2020,V001,2025-05-03,2025-05-10,2025-05-09,Food,8136.97,162.7
PO2021,V002,2025-05-04,2025-05-11,2025-05-11,Housekeeping,9221.9,184.4
PO2022,V003,2025-05-05,2025-05-12,2025-05-13,Utilities,10306.83,206.1
PO2023,V004,2025-05-06,2025-05-13,2025-05-15,Guest Supplies,11391.76,227.8
PO2024,V005,2025-05-07,2025-05-14,2025-05-17,Maintenance,12476.68,249.5
PO2025,V001,2025-06-03,2025-06-10,2025-06-10,Food,8748.53,175.0
PO2026,V002,2025-06-04,2025-06-11,2025-06-12,Housekeeping,9915.0,198.3
PO2027,V003,2025-06-05,2025-06-12,2025-06-14,Utilities,11081.47,221.6
PO2028,V004,2025-06-06,2025-06-13,2025-06-16,Guest Supplies,12247.94,245.0
PO2029,V005,2025-06-07,2025-06-14,2025-06-13,Maintenance,13414.41,268.3
PO2030,V001,2025-07-03,2025-07-10,2025-07-11,Food,11989.11,239.8
PO2031,V002,2025-07-04,2025-07-11,2025-07-13,Housekeeping,10870.13,217.4
PO2032,V003,2025-07-05,2025-07-12,2025-07-15,Utilities,12148.96,243.0
PO2033,V004,2025-07-06,2025-07-13,2025-07-12,Guest Supplies,13427.8,268.6
PO2034,V005,2025-07-07,2025-07-14,2025-07-14,Maintenance,14706.64,294.1
PO2035,V001,2025-08-03,2025-08-10,2025-08-12,Food,12363.03,247.3
PO2036,V002,2025-08-04,2025-08-11,2025-08-14,Housekeeping,11209.15,224.2
PO2037,V003,2025-08-05,2025-08-12,2025-08-11,Utilities,12527.87,250.6
PO2038,V004,2025-08-06,2025-08-13,2025-08-13,Guest Supplies,13846.59,276.9
PO2039,V005,2025-08-07,2025-08-14,2025-08-15,Maintenance,15165.31,303.3
PO2040,V001,2025-09-03,2025-09-10,2025-09-13,Food,9370.91,187.4
PO2041,V002,2025-09-04,2025-09-11,2025-09-10,Housekeeping,10620.36,212.4
PO2042,V003,2025-09-05,2025-09-12,2025-09-12,Utilities,11869.82,237.4
PO2043,V004,2025-09-06,2025-09-13,2025-09-14,Guest Supplies,13119.27,262.4
PO2044,V005,2025-09-07,2025-09-14,2025-09-16,Maintenance,14368.72,287.4
PO2045,V001,2025-10-03,2025-10-10,2025-10-09,Food,8510.38,170.2
PO2046,V002,2025-10-04,2025-10-11,2025-10-11,Housekeeping,9645.1,192.9
PO2047,V003,2025-10-05,2025-10-12,2025-10-13,Utilities,10779.82,215.6
PO2048,V004,2025-10-06,2025-10-13,2025-10-15,Guest Supplies,11914.53,238.3
PO2049,V005,2025-10-07,2025-10-14,2025-10-17,Maintenance,13049.25,261.0
PO2050,V001,2025-11-03,2025-11-10,2025-11-10,Food,8100.01,162.0
PO2051,V002,2025-11-04,2025-11-11,2025-11-12,Housekeeping,9180.01,183.6
PO2052,V003,2025-11-05,2025-11-12,2025-11-14,Utilities,10260.01,205.2
PO2053,V004,2025-11-06,2025-11-13,2025-11-16,Guest Supplies,11340.01,226.8
PO2054,V005,2025-11-07,2025-11-14,2025-11-13,Maintenance,12420.01,248.4
PO2055,V001,2025-12-03,2025-12-10,2025-12-11,Food,10646.36,212.9
PO2056,V002,2025-12-04,2025-12-11,2025-12-13,Housekeeping,9652.7,193.1
PO2057,V003,2025-12-05,2025-12-12,2025-12-15,Utilities,10788.31,215.8
PO2058,V004,2025-12-06,2025-12-13,2025-12-12,Guest Supplies,11923.92,238.5
PO2059,V005,2025-12-07,2025-12-14,2025-12-14,Maintenance,13059.53,261.2
